Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
saffron-sesame rice pine nuts,"side dish	rice	valentine's",4 servings,"2 c  water	1 ea vegetable bouillon cube	2/3 c  brown basmati rice	1 ts saffron threads	1/4 c  hot water	1/4 c  pine nuts	2 tb margarine	1 ea shallot, peeled & minced	2 ea scallions, minced	1/2 ea lemon, juiced	1 1/2 tb tahini	1/4 c  parsley, fresh, minced	1 tb sesame seeds	black pepper, to taste",,,,
salmon in tomato gravy,fish/shellf,4 servings,"1 ea onion, large, chopped	1 ea celery rib, chopped	1/4 c  butter	2 ea garlic cloves, chopped	1 tb parsley, chopped	2 c  tomatoes, chopped	1 tb sugar	1/2 ea lemon, juiced	1 ds worcestershire sauce	16 oz salmon	1 x  salt and pepper to taste",,,,
salmon souffles,"main dish	fish",2 servings,"213 g  canned pink alaska salmon	2    eggs; separated	25 g  fresh white breadcrumbs	50 g  cream or curd cheese	6 tb sour cream	50 g  smoked salmon	1 ts horseradish sauce	11 g  sachet gelatine	15 g  watercress leaves  roughly chopped	100 g  mixed salad leaves	1    red apple; cored and sliced	1/2    lemon; juiced	25 g  walnuts",,,,
salmon steaks raspberry mirepoix,seafood,4 servings,"4    (4 oz.) salmon steaks	2 tb raspberry vinegar	1/4 ts pepper	raspberry mirepoix",,,,
salsa brava,salsa,2 cups,"6    tomatoes, charred or broiled	until skin blisters	1 md onion, chopped coarse	1    dried passilla chile	13/16    serrano chiles,charred	skined	3 tb cillantro	salt to taste",,,,
salsa picante,salsas,1 servings,"2 c  tomatoes, canned, with juice	1 sm onion	2    chile serrano	1 pn sugar	salt, to taste",,,,
samosas spicy pumpkin filling,"bakery	indian	vegetarian	karen's",1 batch,"1 1/2 c  flour	1/4 ts salt	1/4 c  oil	5 tb cold water - or as needed	1 tb oil	1/2 md onion	2 ea garlic cloves	16 oz cooked pumpkin puree - canned or homemade	1 tb lemon juice	1/2 ts salt, or to taste	1/2 ts cayenne pepper, or to taste	1/4 ts ground cumin	1/4 ts ground coriander	1/8 ts turmeric	1/8 ts ground ginger	1/8 ts ground cinnamon	1/8 ts ground cardamom	1/4 ts sugar	oil, for frying",,,,
san antonio seafood cocktail,"appetizers	seafood	mexican",1 servings,"8 oz pace picante sauce or ace thick & chunky salsa	8 oz ketchup	1    squeeze of fresh lemon juice",,,,
santa maria beans,low-cal,6 servings,"1 lb pink, red or pinto beans	1    bacon slice; diced	1/4 c  diced cooked ham	1    sm. garlic clove; minced	3/4 c  tomato puree	1/4 c  canned red chile sauce	1 tb sugar	1 ts dry mustard	1 ts salt	1 ds msg (optional)",,,,
sauce piquante,"main dish	cajun",1 servings,"1    hen (4-5 lb.)	1 c  chopped celery	1 c  chopped bell pepper	1 cn tomato paste (small)	1 ts sugar	5 c  water	2 cn crabmeat	3 cn shrimp, drained	2 c  chopped onion	4    cloves garlic, fine chop	1 cn ro-tel tomatoes	salt & red pepper to taste	1 sm can mushrooms (optional)	chopped green onion tops and arsely",,,,
angels on horseback,"seafood	main dish",6 servings,"1 pt large fresh oysters	12 sl bacon, cut in half	1/2 ts salt	1/8 ts black pepper	1/8 ts paprika	2 tb fresh parsley, chopped",,,,
anoushabour christmas pudding,"desserts	armenian	vegetarian",8 servings,"1 c  pearl barley cold water	1 sm piece cinnamon bark	1 c  granulated sugar	ground cinnamon	blanched almonds	blanched hazelnuts	chopped walnuts	sultanas (white raisins)	rose water (optional)",,,,
antipasto salad garlic dressing,"salads	italian	low-cal",8 servings,"15 1/2 oz can garbanzo beans, drained	6 1/2 oz marinated artichoke hearts	1/2 c  roasted red peppers	1/4 c  black olives, pitted, drained, and sliced	2 bn romaine lettuce, torn into bite-size pieces	1/2 c  low-fat salami, sliced	1/2 c  part-skim mozzarella cheese	1/4 c  parmesan cheese, freshly grated	2 tb olive oil	1 tb tarragon vinegar	1 1/2 ts tarragon vinegar	1/4 ts prepared mustard	1/4 ts worcestershire sauce	1    clove garlic, crushed	1 ds pepper",,,,
antojitos filled mini tortilla cups,"miamiherald	appetizers	diary/eggs	ethnic	mexican",6 servings,"4 lg flour tortillas	2 oz crumbed goat cheese	1/2    tomato; minced	1    jalapeno; minced	2 oz grated queso blanco	2 tb minced red bell pepper	2 tb finely chopped cilantro	1/8 ts hot chili powder	2 oz monterey jack cheese; thinly sliced	2    to 3 tb cooked black beans",,,,
appetizer from black grapes mantala od grozd,"fruits	appetizers	snacks",18 pieces,"grapes (for 1 gallon juice)	1 1/2 c  whole wheat flour	1/2 ts nutmeg	2 c  sugar	1/2 c  lemon juice",,,,
apple cheese icing,"diabetic	cakes	desserts	low-fat/cal",1 servings,"2    sweet dessert apples 200 g 	1 ts powdered gelatin dissolved	4 tb hot water (for gelatin)	1/3 c  skim milk cheese or cottage	coloring (optional)",,,,
apple crisp corn flakes,"fruits	desserts",8 servings,"5 x  apples, sliced and peeled	1 c  brown sugar	1/2 c  quaker oats	1/2 c  flour	1/2 c  corn flakes	2 ts cinnamon	1 ts nutmeg	1 ea stick butter, softened	1/4 c  apple juice, or water",,,,
apple gingerbread,desserts,8 servings,"6 tb solid shortening	1/3 c  granulated white sugar	1    egg	1/2 c  molasses	1 3/4 c  flour	1 tb cinnamon	1/2 ts ginger	1/2 ts salt	2/3 c  strained applesauce",,,,
apple glazed carrots,"vegetables	rice & grai",4 servings,"1 pk baby carrots, 14.5 ounces	1/4 c  apple juice	1/4 c  apple jelly	1 1/2 ts dijon mustard",,,,
apple pancakes ii,"breads	apples",1 servings,"1 c  flour	1/2 c  milk	1/4 ts salt	1    egg; beaten	1 1/2 ts baking powder	1/2 ts vanilla	1 tb butter; melted	1 1/4 c  applesauce",,,,
apple pie fruit sweet,"pies	fruits",8 servings,"pastry for 2 crust 9"" pie	6 lg apple; peeled, cored, & sliced (i use granny smith)	1/2 c  fruit sweet	2 ts cinnamon	1 ts nutmeg	1 tb butter",,,,
apple raspberry pie,"desserts	pies",8 servings,"1 x  crust	2 c  all purpose flour	7 oz lard	1 tb pple cider vinegar	1/2 ts salt	6 tb cold water	1/2 c  + 1 tablespoon sugar	2 tb flour	1 ts cinnamon",,,,
mojo vinegreta garlic dip,dips,1 servings,"4 ea to 6 cloves garlic	1 ts salt	1/3 c  sour orange juice",,,,
moms pineapple nut loaf,"breads	desserts	cakes",1 servings,"2 c  flour	1/2 c  sugar	1 ts baking powder	1 1/2 ts salt	1 c  golden raisins	1 c  chopped nuts	1    egg, beaten	2 tb vanilla	2 tb butter or margarine, melted	1 ts baking soda	16 oz pineapple, undrained  (chunks or crushed may be  used) (1 can)",,,,
monkfish scaloppine shiitakes chianti  sage,"seafood	*tvfn",4 servings,"4 tb virgin olive oil	1    1 pound piece monkfish filet - cut into 8 slices	2 oz flour mixed with salt and pepper	l-2 pound shiitake mushrooms - hard foot removed	and cut in half	8    leaves sage	8 oz dry red wine (preferably chianti)	1 c  basic tomato sauce	2 tb cold butter	1/2 bn parsley; finely chopped to	yield 1/8 cup",,,,
moroccan garbanzo beans raisins,vegetables,4 servings,"1    onion, sliced	1    onion, chopped	1    clove garlic	2 tb peanut oil	1 c  diced butternut squash	1 c  chicken broth	1/2 c  raisins	1 ts ground turmeric	1 ts ground cinnamon	1/2 ts ground ginger	15 oz garbanzo beans (chick-peas)	2 c  hot cooked rice",,,,
mr foods mediterranean steak,"meats	sirloin",4 servings,"2 ts olive oil	2 ea garlic cloves, crushed	1 ts dried oregano	1/4 ts salt	1/4 ts black pepper	1 lb sirloin, round, or strip  steak, 1 inch thick	1 md tomato, chopped	2 1/4 oz sliced olives, drained	1 sm onion, chopped	2 tb italian dressing	4    6-inch pita pockets, warmed	1/4 c  (1 ounce) crumbled  feta cheese",,,,
mrs peacocks quail,poultry,12 servings,"12    quail	1 c  mushrooms	1 c  fresh bread crumbs	1 ts salt	1/4 ts cayenne pepper	4 ts truffle peelings	1 tb flour	1 tb oil	2 1/2 c  chicken broth	1/4 ts dried minced onion	1/2 ts minced parsley",,,,
mexican mince marguerite patten,main dish,2 servings,"1 sm onion, peeled	6 oz british minced beef or lamb	2 tb tomato ketchup	8 oz can chopped tomatoes	1 ts cliilli powder	8 oz can red kidney beans	5 fl stock or water with	1/4    stock cube	3 tb canned sweetcorn	salt and black pepper",,,,
michael loos chicken kiev,"chicken	loo",6 servings,"1    stick butter, chilled	6    boneless chicken breast halves	salt and pepper to taste	1    green onion, minced fine	1 c  flour for dredging	salt and pepper to taste	2    eggs, beaten	1 c  breadcrumbs for dredging",,,,
milk chocolate florentine cookies,cookies,42 servings,"2/3 c  butter or margarine	2 c  quick oats, uncooked	1 c  sugar	2/3 c  all-purpose flour	1/4 c  corn syrup	1/4 c  milk	1 ts vanilla extract	1/4 ts salt	1 pk nestle toll house milk chocolate morsels (11.5 oz)",,,,
milk pizza dough,pizza,1 servings,"2 3/4 c  all-purpose flour	3/4 c  milk	5 tb unsalted butter; softened	1 ts baking powder	1 ts salt",,,,
minted potatoes,vegetables,1 servings,"6 c  white or red potatoes;	1 tb soft marg	1/2 c  minced fresh mint	1 tb fresh lemon juice",,,,
mississippi mist pie,"desserts	pies",6 servings,"2 c  vanilla wafer crumbs  (about 50 wafers)	5 tb butter or margarine; melted	2 pt fresh strawberries	8 oz pkg light cream cheese;  softened	1 cn sweetened condensed milk (14 oz can)	1/2 c  fresh lime juice (about  6 to 8 limes)	1 tb green creme de menthe  liqueur	1 c  whipping cream	3 tb sugar	1/2 ts vanilla	lime slice; for garnish",,,,
mississippi rice,"side dishes	rice",1 servings,"1 c  long grain rice	1 cn mushrooms	1 cn beef consomm e9` soup	1    stick margarine	1 cn french onion soup",,,,
mizuyokan red bean cake,"japan	asian	cakes/frost",10 servings,"12 oz azuki beans - cooked	2 pk gelatin, unflavored	1 1/4 c  sugar, granulated	pn salt",,,,
debra mitchells corn pudding,"newspaper	puddings	vegetables",50 servings,"3    green bell peppers; chopped	1 cn creamed corn; 6 1/2 lb	3    onions; chopped	2 cn pimentos; 4oz, drained	4    scallions; chopped	5 tb sugar	1/2 c  butter	5    eggs; beaten lightly	1 cn whole kernal corn; 6 1/2 lb	1/2 c  flour; all-purpose	.  drained",,,,
cornmeal english muffins country living,"country liv	muffins	breads",20 muffins,"1 1/4 c  milk	3 1/2    to 4 c unsifted bread flour	2 tb butter	2 ts salt	1/3 c  warm water (105' to 115'f)	1    large egg	1 pk active dry yeast	1 c  yellow cornmeal	1/4 ts sugar",,,,
chicken basil sun-dried tomato terrine,"main dish	casseroles	country liv	poultry",12 servings,"2 3/4 lb boned and skinned chicken	1/4 c  thawed, frozen chopped breasts, cut into 1/2-inch              -spinach cubes                            1/4 c  chopped fresh parsley leaves	1/2 c  brandy	1    4-oz jar pimiento, drained	1 tb olive oil	1/2 c  chopped oil-packed, loves garlic, chopped                   -sun-dried tomatoes	1 ts salt	2 oz goat cheese or cream cheese	1/2 ts ground white pepper	boiling water	1 3/4 c  heavy cream	sliced natural almonds	3    large egg whites	- (about 1/2 c)	1/2 c  chopped fresh basil leaves	fresh basil leaves (opt.)",,,,
cherrimisu country living,"country liv	desserts	cake/cookie	fruit",8 servings,"1/2 c  red currant jelly	1 c  (1/2 pint) heavy cream	1/4 c  brandy	1 ts vanilla extract	1 tb cornstarch	12    dried ladyfingers, such as	1 lb sweet cherries, halved and	-italian savoiardi, or pitted                                  -champagne egg biscuits	1    8-oz carton mascarpone	-(if unavailable, use cheese                                  -unfilled ladyfingers)	1/4 c  confectioners' sugar	3    sweet cherries with stems",,,,
raw fava bean spread,"appetizers	snacks",1 cup,"1 1/2 c  shelled fava beans	1/3 c  extra-virgin olive oil (abt 1 1/2 lb in the shell)    1 1/2 tb lemon juice	2 tb romano cheese	6    mint leaves freshly grated                          pepper	1/2 ts garlic, finely chopped",,,,
orange honeydews filled red wine syrup,fruit,4 servings,"2 c  full-flavored red wine	1    3"" piece cinnamon stick	(such as ctes du rhone	2 md orange-fleshed honeydew or zinfandel)                           -melons or cantaloupes	1/2 c  sugar	-(about 2 1/2 lb ea)",,,,
chocolate sorbet,"newspaper	chocolate	desserts",1 pint,"2 c  water	3 tb corn syrup	3/4 c  sugar	5 tb cocoa powder; unsweetened",,,,
beef gumbo,"cajun/creol	soup/stew	meats",8 servings,"2 tb butter or beef fat	1 ea meaty soup bone	1/4 c  celery, chopped	1/4 c  parsley, chopped	1/4 c  onion, chopped	1/4 ts salt	1/2 ts paprika	2 tb butter	1/2 c  onion, chopped	1/2 c  okra, sliced	1/2 c  celery, leafy, chopped	2 c  tomatoes, canned",,,,
coconut barbecued ribs,"meats	bon appetit",4 servings,"4 lb baby back pork ribs	1/3 c  (packed) shallots, chopped cut into individual ribs         1/4 c  soy sauce	1 c  canned unsweetened	3 tb garlic, chopped coconut milk                       2 tb ginger, peeled, chopped	1/2 c  cilantro, chopped	2    stalks lemongrass, chopped	1/2 c  (packed) golden brown sugar	1 ts salt",,,,
mashed french beans garlic mint,"side dish	vegetables",4 servings,"1 c  flageolet beans	1/2 ts kosher salt -- more to	1    head garlic	-taste	1    celery rib	4 tb olive oil, extra-virgin	1    carrot, scrub & cut in half	2 tb fresh mint -- chopped lengthwise                              black pepper -- freshly	1 md onion -- peeled and halved	-ground",,,,
gingers hawaiian ginger beets,vegetables,6 servings,"1 cn pineapple tidbits;	2 tb butter -=or=- - (13-1/2 oz)                      2 tb margarine;	1/3 c  vinegar;	1/2 c  onion; sliced	1/2 c  water;	2    jars small whole beets;	1/3 c  sugar;	-- (16-oz)	4 tb cornstarch;	2 tb preserved ginger; chopped	1/2 ts salt;",,,,
coconut pecan oatmeal cake,cake/cookie,12 servings,"1 1/3 c  flour	-temp	1 ts baking soda	1 c  sugar	1/2 ts baking powder	3 tb sugar	1 ts salt	2 ts vanilla extract	1/2 ts ground cinnamon	2 lg eggs -- at room temp.	1 c  rolled oats	1 1/3 c  boiling water	8 tb unsalted butter -- at room	6 tb unsalted butter -- at room	1 ts vanilla extract temp                             1/2 c  pecans -- chopped	1 c  brown sugar	1/2 c  coconut -- shredded	1/4 c  milk",,,,
cilantro pasta dough,pasta/rice,1 servings,"1 c  flour	4 ts water	1/4 c  coarsley chopped cilantro	1 ts olive oil	1/4 ts salt	2 tb flour	1    egg, beaten",,,,
green bay packers dip,"appetizers	dips/spread",1 servings,"1/2 c  mayonnaise	2 ts lemon juice	1/2 c  sour cream	1/4 ts tarragon	1/4 c  parsley -- chopped	1/8 ts garlic powder	1/4 c  green onion -- sliced",,,,
chipped beef toast,meats,4 servings,"1    creamed peas, frozen, box	toast	4 oz dried beef",,,,
easy taco pizza,pizza,6 servings,"6    7"" flour tortillas	2 c  cheddar cheese -- shredded	1 cn refried beans	1 1/2 c  shredded lettuce	3/4 ts ground cumin	1/2 c  sour cream	1 cn pizza style chunk tomatoes",,,,
ricotta artichoke pizza,"can/preserv	pizza",4 servings,"1    pizza dough	-slivered	40    milliliters garlic	6 tb fresh parmesan cheese	12    basil leaves	1/2 c  green pepper -- diced	1 1/2 lb ricotta cheese	14 oz can artichoke hearts; drain	olive oil	slice	1/2 c  oil-pk sun-dried tomatoes,	garlic",,,,
roasted vegetable pizza,"pizza	vegetables",8 servings,"4    plum tomatoes -- quartered	3/4 ts salt	1/4 lb asparagus -- cut 1-1/2"" pcs	1/4 ts pepper	1 sm zucchini -- slice	1/4 ts oregano	1 sm red onion -- sliced	1    12"" pizza crust	4 ts olive oil	1 c  fresh mozzarella -- diced	1 ts garlic -- minced",,,,
cheezy brunch pie,"breakfast	pie/tart	cheese/eggs",8 servings,"4    eggs	6 oz cheddar cheese -- shredded	1 c  sour cream	2 tb parsley -- chopped	8 oz bacon -- cooked & crumbled	9    inch pie crust, frozen",,,,
italian vegetable pasta stew,"soup/stew	crockpot	low cal/fat	vegetables	pasta/rice",8 servings,"cooking light 9-95	tomatoes, undrained	carolyn shaw 8-95	1 cn (14.5 oz) fat free beef	4 c  water	broth	2 c  chopped onion	3 cl garlic, chopped	1 1/2 c  quartered small red	1 c  sliced zucchini	potatoes	1 c  torn spinach	1 c  dried great northern or navy	1/2 c  uncooked alphabet or other	beans	sm pasta	1/2 c  sliced carrots	1 tb dried rosemary, crushed	1/2 c  quartered mushrooms	1 ts salt	1/2 c  uncooked pearl barley	1 ts rubbed sage	1/2 lb lean boneless round steak,	1/2 ts pepper	cut in half inch pieces	1/4 ts ground nutmeg	1 cn (14.5 oz) pasta style chunky	1/2 c  grated parmesan cheese",,,,
quick tortellini soup,"soup/stew	pasta/rice	vegetables",6 servings,"14 c  chicken broth; hot	4 ts cilantro leaves; dried	1 lb tortellini; fresh; mixed	coarse black pepper	2 c  spinach leaves; drained &	parmesan cheese; grated chopped",,,,
cantaloupe raspberry melba,"desserts	country wom",1 servings,"1/2 c  cranberry juice cocktall	3 c  cantaloupe cubes -- or ugar                                    balls	2 ts cornstarch	1 c  raspberries	1/4 ts almond extract	mint leaves, optional",,,,
christmas jam,"canning	preserves	etc.	country wom",14 servings,"2 pk frozen strawberries -- whole	frozen 20 oz.                             5 lb sugar or-                                2 ea pectin -- 3 oz each	2 1/2 qt fresh strawberries	liquid fruit pouches	1 lb cranberries -- fresh or wberries and cranberries in a food processor or grinder;",,,,
evelyns orlglnal roquefort dressing,"salad	dressings	country wom",1 servings,"1 ct sour cream -- 8 oz.	1/2 ts garlic powder	1/2 c  miracle whip salad dressing	1/2 ts onion salt	1 ts tarragon vinegar	few drops tabasco sauce	1 ts worcestershire sauce	1 pk roquefort cheese -- 4 oz.	1 ts lemon juice	crumbled	1/2 ts garlic salt",,,,
raspberry lusclous gelatln salad,"salads	country wom",1 servings,"2 pk raspberry-flavored gelatin	w/juice	dessert -- 3 ounces each	2 lg ripe bananas -- mashed	1    envelope unflavored gelatin	1 pt fresh raspberries	1 c  boiling water	or frozen whole unsweetened	2 c  cold water	1 c  dairy sour cream	1 cn crushed pineapple -- 20 oz",,,,
spaghetti squah casserole,"casseroles	country wom",1 servings,"1 md spaghetti squash -- about 8	1/2 ts salt	inches	1/4 ts pepper	1 c  water	2 ea fresh tomatoes -- diced	1 tb butter or margarine	1 c  ricotta	1 c  onion -- chopped	8 oz or cottage cheese	2 ea garlic cloves -- minced	1 c  mozzarella cheese -- 4 oz	1/2 lb fresh mushrooms -- sliced	shredded	1 ts dried basil	1/4 c  parsley -- finely chopped	1/2 ts dried oregano	1 c  dry bread crumbs	1/4 ts dried thyme	1/4 c  parmesen cheese -- grated",,,,
chilaquiles,kids,8,"1    doz corn tortillas, several days old	1 c  onions, chopped	2    cloves garlic, pressed or 1/4 tsp garlic powder	2 ts chili powder	1 ts cumin powder	1 1/2 c  lowfat cottage cheese	1 1/2 c  crushed tomatoes	6 oz grated jack or cheddar cheese	salt to taste	1 tb oil",,,,
strawberry leather,candies,1,"2 c  fresh strawberry puree	1 c  applesauce	1 tb lemon juice	1/4 c  sugar",,,,
creamed eggs scallions,"chinese	eggs",6 servings,"12    eggs	1/2 c  sour cream	1 tb fresh dill	1    bunch scallions, chopped	peanut oil",,,,
creamy artichoke hazelnut soup,"soups	kooknet",6 servings,"1    shallot, minced	1 tb hazelnut oil	1 1/2 qt chicken stock	14 3/4 oz jar marinated artichokes, rained and finely chopped	1/2 c  hazelnuts, roasted, skinned	and ground	1/4 c  rice flour	1/4 c  cream	1 tb sherry	1/4 c  parsley, finely chopped",,,,
